nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Americana,,Motorista De Caminhão (Rotas Regionais E Internacionais),57,3060.57
Itapetininga,,Diretor De Instituição Educacional Pública,56,5683.27
Araçoiaba da Serra,,Motorista De Ônibus Urbano,56,2244.11
Itu,,Cozinheiro Geral,55,1425.94
Itu,,Repositor De Mercadorias,55,1064.43
Itapetininga,,Guarda-Civil Municipal,55,2177.07
Itapetininga,,Trabalhador Agropecuário Em Geral,54,1190.7
Araçatuba,,Repositor De Mercadorias,54,1121
Itapeva,,Enfermeiro,53,6379.75
Boituva,,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,53,3607.76
Itu,,Vendedor De Comércio Varejista,53,1616.52
Itupeva,,Guarda-Civil Municipal,53,8719.08
Boituva,,"Recepcionista, Em Geral",53,2840.64
Cerquilho,,Guarda-Civil Municipal,52,3829.24
Itapetininga,,Fiscal De Tributos Municipal,52,1943
Araçatuba,,Assistente Social,52,3524.05
Americana,,Diretor Administrativo,52,7196.4
Piedade,,Auxiliar De Escritório,52,1229.44
Americana,,Soldador,51,2000.6
Cerquilho,,Motorista De Furgão Ou Veículo Similar,51,3096.08
Americana,,Estoquista,51,1095.82
Porto Feliz,,Atleta Profissional De Futebol,51,1928.95
Araçatuba,,Professor De Ensino Superior Na Área De Pesquisa Educacional,51,23855.67
Americana,,Repositor De Mercadorias,50,851.64
Itapeva,,Professor De Língua Portuguesa Do Ensino Fundamental,50,3152.51
Araçariguama,,Assistente Administrativo,49,2375.42
Macatuba,,Assistente Administrativo,49,3518.32
Araçatuba,,Operador De Caixa,49,1305.1
Porto Feliz,,Motorista De Carro De Passeio,49,4046.65
Itu,,Médico Clínico,49,10282.61
Boituva,,Abatedor,49,1345.09
Itu,,Técnico Químico,49,2323.05
Araçariguama,,Alimentador De Linha De Produção,48,1757.02
Boituva,,Inspetor De Alunos De Escola Pública,48,2129.39
Araçatuba,,Agente De Combate Às Endemias,48,2015.72
Araçoiaba da Serra,,Auxiliar De Enfermagem,47,2295.99
Itu,,Auxiliar De Logistica,47,1219.7
Cerquilho,,Vendedor De Comércio Varejista,46,1280.47
Americana,,Enfermeiro,46,4972.38
Pindamonhangaba,,Assistente Administrativo,46,1188.4
Cerquilho,,Servente De Obras,46,1768.84
Itu,,Carregador (Armazém),46,1388.94
Macatuba,,Motorista De Carro De Passeio,46,2755.22
Boituva,,Vendedor De Comércio Varejista,45,1358.53
Itapeva,,Professor De Matemática Do Ensino Fundamental,45,3587.33
Itu,,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",45,1813.32
Piedade,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),45,2495.08
Pindamonhangaba,,Repositor De Mercadorias,45,906.27
Itu,,Auxiliar De Enfermagem,45,3183.9
Ibiúna,,"Recepcionista, Em Geral",44,2427.61
Boituva,,Motorista De Carro De Passeio,44,3055.02
Itupeva,,Prensista (Operador De Prensa),44,0
Ibiúna,,Cozinheiro Geral,43,1889.29
Charqueada,,Motorista De Furgão Ou Veículo Similar,43,2134.12
Itu,,Atleta Profissional De Futebol,43,3971.09
Dourado,,Auxiliar De Escritório,43,1021.53
Cerquilho,,Cozinheiro Geral,43,1644.5
Itapeva,,Varredor De Rua,43,1638.76
Americana,,Operador De Conicaleira,43,1441.73
Itapetininga,,Médico Clínico,43,9007.85
Itapetininga,,Professor De Educação Física Do Ensino Fundamental,43,4498.52
Itu,,Fiscal De Tributos Municipal,43,5592.03
Boituva,,Auxiliar De Enfermagem,43,3216.36
Araçoiaba da Serra,,Guarda-Civil Municipal,42,3222.83
Americana,,Moldador De Plástico Por Injeção,42,1507.27
Porto Feliz,,Assistente Administrativo,41,2466.39
Araçatuba,,Psicólogo Do Esporte,41,3706.65
Itapetininga,,Auxiliar De Enfermagem,41,1945.59
Cerquilho,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),41,2411.6
Ibiúna,,Cobrador Interno,41,1053.5
Ibiúna,,Agente Comunitário De Saúde,40,1816.2
Itapeva,,Diretor De Instituição Educacional Pública,40,6937.28
Araçariguama,,Servente De Obras,40,1495.06
Itapeva,,Professor De Educação Física Do Ensino Fundamental,40,3467.36
Itapetininga,,Agente De Saúde Pública,40,2166.2
Boituva,,Professor De Língua Portuguesa Do Ensino Fundamental,39,4987.48
Araçatuba,,Armazenista,39,1919.87
Cerquilho,,Agente Comunitário De Saúde,39,1905.27
Boituva,,Motorista De Caminhão (Rotas Regionais E Internacionais),39,2417.76
Itapeva,,Assistente Administrativo,39,2628.95
Itapetininga,,Trabalhador Volante Da Agricultura,38,1236.88
Americana,,Ajustador De Instrumentos De Precisão,38,546.42
Araçatuba,,Parteira Leiga,38,1911.95
Itapetininga,,Eletrotécnico,38,1054.15
Itupeva,,Diretor Administrativo,38,8038.66
Itu,,Cirurgião Dentista - Clínico Geral,38,7371.65
Ibiúna,,Vigilante,37,1940.18
Araçatuba,,Cirurgião Dentista - Clínico Geral,37,10344.58
Itapetininga,,Psicólogo Social,37,3155.54
Charqueada,,Auxiliar De Escritório,37,1555.29
Itu,,Auxiliar Em Saúde Bucal,37,2682.86
Itapeva,,Dirigente Do Serviço Público Estadual E Distrital,37,4801.63
Araçatuba,,Agente Comunitário De Saúde,37,2121.89
Araçariguama,,Técnico De Enfermagem,36,1925.63
Itu,,Operador De Torno Com Comando Numérico,36,2436.47
Boituva,,Agente De Segurança,36,3291.27
Americana,,Auxiliar Nos Serviços De Alimentação,36,1182.34
Itapeva,,Dirigente Do Serviço Público Municipal,36,5900.66
Araçoiaba da Serra,,Enfermeiro,36,3646.19
Americana,,Operador De Linha De Montagem (Aparelhos Eletrônicos),36,1643.53
Americana,,Eletricista De Instalações,36,2975.29
Itu,,Dirigente Do Serviço Público Municipal,36,5222.5
Araçatuba,,"Embalador, A Mão",36,652.97
Piedade,,Auxiliar De Enfermagem,36,2269.41
Charqueada,,Faxineiro,35,1197.19
Americana,,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),35,3322.37
Ibiúna,,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),35,2742.06
Americana,,"Recepcionista, Em Geral",35,1797.77
Itapeva,,Coletor De Lixo Domiciliar,35,1799.6
Pindamonhangaba,,Operador De Caixa,34,1528.39
Boituva,,Professor De Educação Física Do Ensino Fundamental,34,4779.72
Boituva,,Varredor De Rua,34,2754.38
Itu,,"Recepcionista, Em Geral",34,1969.91
Americana,,Instalador De Tubulações,34,3536.38
Araçatuba,,Agente De Saúde Pública,34,7757.31
Americana,,Operador De Estação De Tratamento De Água E Efluentes,34,5922.33
Itu,,Operador De Caixa,34,1287.63
Itupeva,,Recreador,33,1068.07
Itu,,Telefonista,33,2415.28
Boituva,,Professor De Nível Superior Na Educação Infantil (Zero A Três Anos),33,3529.02
Charqueada,,Servente De Obras,33,1541.91
Porto Feliz,,Supervisor Administrativo,33,4745.94
Itapeva,,Trabalhador No Cultivo De Árvores Frutíferas,33,1110.15
Itu,,Vigia,33,2835.1
Americana,,Eletricista De Manutenção Eletroeletrônica,33,900.47
Porto Feliz,,Inspetor De Alunos De Escola Pública,32,1713.35
Boituva,,Servente De Obras,32,2082.58
Itapetininga,,Professor De Nível Médio Na Educação Infantil,32,3755.66
Piedade,,Vigia,32,2981.48
Pindamonhangaba,,Atendente De Lojas E Mercados,32,1376.74
Araçariguama,,Carregador (Armazém),32,359.06
Itu,,Carregador (Veículos De Transportes Terrestres),32,1434.14
Americana,,"Operador De Máquinas Fixas, Em Geral",32,1969.83
Itapetininga,,Assistente Social,31,3382.8
Itupeva,,Inspetor De Alunos De Escola Pública,31,2795.55
Araçatuba,,Servente De Obras,31,1771.42
Itupeva,,Supervisor Administrativo,31,7794.66
Itupeva,,Bombeiro Civil,31,3810.28
Porto Feliz,,Diretor De Instituição Educacional Pública,31,4794.47
Itu,,Ajudante De Motorista,31,1521.18
Itu,,Psicólogo Clínico,30,3796.53
Americana,,Assistente Social,30,4720.08
Itapeva,,Assistente Social,30,3591.02
Americana,,Inspetor De Alunos De Escola Pública,30,1973.48
Itapetininga,,Agente De Ação Social,30,1394.8
Piedade,,Agente Comunitário De Saúde,30,1984.42
Itu,,"Mecânico De Manutenção De Máquinas, Em Geral",30,1210.64
Itapeva,,Professor De Educação Artística Do Ensino Fundamental,30,3027.19
Porto Feliz,,Educador Social,30,1657.49
Itupeva,,Investigador De Polícia,30,486.09
Itapeva,,Auxiliar De Biblioteca,29,1616.82
Boituva,,Professor De Matemática Do Ensino Fundamental,29,4904.44
Americana,,Inspetor De Qualidade,29,2092.01
Macatuba,,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),29,3487.42
Boituva,,Coordenador Pedagógico,29,5786.04
Araçoiaba da Serra,,Inspetor De Alunos De Escola Pública,29,1837.55
Porto Feliz,,Alimentador De Linha De Produção,29,1476.91
Itapeva,,Vendedor De Comércio Varejista,29,3395.56
Cerquilho,,"Recepcionista, Em Geral",28,1490.77
Americana,,Vigia,28,2370.22
Itapeva,,Cirurgião Dentista - Clínico Geral,28,6017.88
Itapeva,,Educador Social,28,1801.67
Itapeva,,Trabalhador Agropecuário Em Geral,28,1436.67
Americana,,Operador Polivalente Da Indústria Têxtil,28,1662.32
Ibiúna,,Enfermeiro,28,4248.74
Boituva,,Professor De Educação Artística Do Ensino Fundamental,28,4452.74
Itapetininga,,Recepcionista De Consultório Médico Ou Dentário,28,1450.33
Americana,,Dirigente Do Serviço Público Municipal,28,10787.61
Itu,,Assessor De Imprensa,28,3049.04
Cabreúva,,"Mecânico De Manutenção De Máquinas, Em Geral",28,1196.88
Araçatuba,,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",28,2309.72
Ibiúna,,Diretor De Instituição Educacional Pública,28,6147.14
Itupeva,,"Mecânico De Manutenção De Máquinas, Em Geral",28,1127.41
Macatuba,,Ajudante De Confecção,28,795.58
Araçatuba,,Operador De Telemarketing Ativo E Receptivo,28,897.74
Araçoiaba da Serra,,Alimentador De Linha De Produção,28,1735.23
Americana,,Técnico De Planejamento De Produção,28,1401.54
Itapetininga,,Atendente De Lojas E Mercados,27,1076.88
Itu,,Motorista De Furgão Ou Veículo Similar,27,3220.63
Itapeva,,Repositor De Mercadorias,27,655.3
Itapetininga,,Operador De Caixa,27,1230.51
Americana,,Açougueiro,26,1606.11
Itu,,"Operador De Pavimentadora (Asfalto, Concreto E Materiais Similares)",26,2607.5
Americana,,Porteiro De Edifícios,26,1738.49
Boituva,,Demolidor De Edificações,26,7566.33
Itu,,Costureiro Na Confecção Em Série,26,1157.68
Itapeva,,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,26,2952.08
Americana,,Farmacêutico,26,4240.23
Boituva,,Repositor De Mercadorias,26,1113.96
Americana,,Montador De Instrumentos De Precisão,26,2558.46
Itu,,Atendente De Lojas E Mercados,26,1165.52
Americana,,Pedreiro,26,2332.03
Itapetininga,,Cirurgião Dentista - Clínico Geral,25,5112.4
Americana,,Pintor De Obras,25,1907.42
Itapetininga,,Enfermeiro Da Estratégia De Saúde Da Família,25,4125.54
Itapetininga,,Pedreiro De Edificações,25,1912.77
Pindamonhangaba,,Soldador,25,2728.58
Itu,,Agente Comunitário De Saúde,25,2914.56
Araçoiaba da Serra,,Professor Leigo No Ensino Fundamental,25,3097.41
Araçoiaba da Serra,,Diretor De Instituição Educacional Pública,25,4521.72
Boituva,,Enfermeiro,24,5743.1
Araçatuba,,Encanador,24,3550.04
Itupeva,,Faxineiro,24,938.07
Itapeva,,Motorista De Carro De Passeio,24,3623.14
Macatuba,,Inspetor De Alunos De Escola Pública,24,1608.93
Pindamonhangaba,,Servente De Obras,24,1724.42
Itapetininga,,Servente De Obras,24,1500.93
Ibiúna,,Repositor De Mercadorias,24,633.65
Araçatuba,,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),24,3078.81
Cerquilho,,Alimentador De Linha De Produção,24,1515.74
Araçatuba,,Atendente De Lojas E Mercados,24,1248.07
Itapetininga,,Técnico Em Farmácia,24,1662.55
Araçariguama,,Cozinheiro Geral,24,1347.04
Itapetininga,,Trabalhador Da Exploração De Resinas,23,1461.5
Macatuba,,Cozinheiro Geral,23,1471.47
Ibiúna,,Auxiliar Nos Serviços De Alimentação,23,1619.44
Itu,,Fisioterapeuta Geral,23,3991.1
Araçatuba,,Médico Clínico,23,7543.12
Charqueada,,Inspetor De Alunos De Escola Pública,23,1346.67
Araçatuba,,Técnico De Apoio Em Pesquisa E Desenvolvimento (Exceto Agropecuário E Florestal),23,6758.33
Itu,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),23,6312.5
Cerquilho,,Assistente Administrativo,23,2197.59
Itu,,Assistente De Vendas,23,2105.67
Itupeva,,Enfermeiro,23,5782.97
Boituva,,Agente De Combate Às Endemias,23,2178.81
Piedade,,Diretor De Instituição Educacional Pública,23,5684.59
Araçatuba,,Atendente De Farmácia - Balconista,22,1754.44
Araçatuba,,Professor De Ensino Superior Na Área De Orientação Educacional,22,17583.95
Macatuba,,"Mecânico De Manutenção De Máquinas, Em Geral",22,497.83
Piedade,,Motorista De Furgão Ou Veículo Similar,22,2888.34
Americana,,Montador De Máquinas,22,2519.59
Itupeva,,Almoxarife,22,1204.93
Piedade,,Motorista De Ônibus Rodoviário,22,2046.67
Americana,,Operador De Empilhadeira,22,1738.45
Boituva,,Fiscal De Tributos Municipal,22,3479.23
Itupeva,,Professor De Educação Física Do Ensino Fundamental,22,4828.7
Araçatuba,,Cozinheiro Geral,21,1911.56
Americana,,Técnico De Suporte Ao Usuário De Tecnologia Da Informação,21,1683.75
