nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Americana,,Operador De Escavadeira,6,4151.85
Cerquilho,,Carpinteiro (Esquadrias),6,3140.44
Araçoiaba da Serra,,Operador De Trator De Lâmina,6,4305.2
Itu,,Operador De Rádio-Chamada,6,2375.93
Charqueada,,Professor De Matemática Do Ensino Fundamental,6,2110.63
Araçatuba,,Auxiliar De Faturamento,6,1341.04
Cerquilho,,Fisioterapeuta Geral,6,7547.36
Araçariguama,,Cirurgião Dentista - Odontologista Legal,6,4971.79
Piedade,,Coordenador Pedagógico,6,4675.36
Porto Feliz,,Psicólogo Educacional,6,3031.74
Americana,,Secretária(O) Executiva(O),6,2590.49
Ibiúna,,Pedreiro,6,2521.25
Araçatuba,,Nutricionista,6,3952.92
Ibiúna,,Dirigente Do Serviço Público Municipal,6,10340.2
Americana,,Analista De Suporte Computacional,6,1779.73
Cerquilho,,Farmacêutico,6,6196.78
Itapetininga,,Técnico Em Saúde Bucal Da Estratégia De Saúde Da Família,6,2017.33
Porto Feliz,,Consultor Jurídico,6,4429.3
Itupeva,,Montador De Equipamentos Elétricos,6,2655.57
Itu,,Gerente De Logística (Armazenagem E Distribuição),6,3617.95
Itapeva,,"Recepcionista, Em Geral",6,1319.14
Itapetininga,,Gerente De Loja E Supermercado,6,4059.75
Itapeva,,Operador De Caixa,6,1059.93
Itapetininga,,Telefonista,6,1946.73
Araçatuba,,Perfumista,6,1587.67
Porto Feliz,,Ajudante De Confecção,6,1171.76
Araçoiaba da Serra,,Telefonista,6,1807.76
Americana,,Gerente De Suprimentos,6,1560.43
Itupeva,,Analista De Recursos Humanos,6,4953.08
Itapeva,,Carpinteiro,6,2054.59
Itupeva,,Engenheiro Civil,6,7177.89
Itu,,Operador De Estação De Tratamento De Água E Efluentes,6,1547.8
Araçoiaba da Serra,,Agente De Trânsito,6,2417.27
Americana,,Mestre (Construção Civil),6,3658.7
Americana,,Operador De Máquina Perfuratriz,6,3430.96
Boituva,,Médico Clínico,6,4461.37
Americana,,Operador De Máquinas De Construção Civil E Mineração,6,2435.02
Charqueada,,Alimentador De Linha De Produção,6,1465.81
Cerquilho,,Operador De Caixa,6,1767.57
Araçariguama,,Agente De Trânsito,6,2213.17
Boituva,,Mantenedor De Sistemas Eletroeletrônicos De Segurança,5,1713.56
Araçariguama,,Professor Prático No Ensino Profissionalizante,5,4280.47
Araçoiaba da Serra,,Vigia,5,2388.44
Piedade,,Cirurgião Dentista - Clínico Geral,5,4967.08
Cabreúva,,Armazenista,5,1555.32
Itapeva,,Almoxarife,5,2069.9
Itapeva,,Alimentador De Linha De Produção,5,1360.34
Araçariguama,,Assistente Social,5,4812.68
Itapetininga,,Advogado,5,6382.73
Americana,,Técnico Em Acupuntura,5,4205.79
Cabreúva,,Operador De Transporte Multimodal,5,2100.33
Pindamonhangaba,,Contínuo,5,981
Macatuba,,Visitador Sanitário,5,2870.43
Itapeva,,Atendente De Lanchonete,5,1471.8
Pindamonhangaba,,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),5,17313.83
Cerquilho,,"Tecelão De Malhas, A  Máquina",5,2010.49
Ibiúna,,Inspetor De Alunos De Escola Pública,5,1814.2
Charqueada,,Pedreiro,5,2369.65
Ibiúna,,Jardineiro,5,1624.03
Americana,,Administrador,5,2136.74
Araçariguama,,Professor De Educação Artística Do Ensino Fundamental,5,4438.12
Cerquilho,,Supervisor Administrativo,5,3391.84
Itapetininga,,Médico Psiquiatra,5,10218.82
Cerquilho,,Auxiliar De Contabilidade,5,2242.13
Cerquilho,,Montador De Estruturas Metálicas,5,1697.78
Boituva,,Atendente De Farmácia - Balconista,5,1529.05
Americana,,Gerente Comercial,5,3529.7
Macatuba,,Motorista De Caminhão (Rotas Regionais E Internacionais),5,3293.07
Araçariguama,,Advogado,5,6971.06
Macatuba,,Pintor De Obras,5,2510.03
Itupeva,,Auxiliar Nos Serviços De Alimentação,5,867.79
Pindamonhangaba,,Trabalhador Da Avicultura De Postura,5,1326.83
Araçatuba,,Controlador De Entrada E Saída,5,1385.33
Americana,,Selecionador De Material Reciclável,5,883.29
Itapeva,,Auxiliar De Enfermagem,5,3972.76
Americana,,"Operador De Estação De Captação, Tratamento E Distribuição De Água",5,4518.36
Americana,,Gerente Administrativo,5,4114.03
Piedade,,"Embalador, A Mão",5,704.57
Cabreúva,,Eletricista De Instalações,5,824.59
Macatuba,,Vendedor De Comércio Varejista,5,1047.45
Porto Feliz,,Mecânico De Manutenção De Máquinas-Ferramentas (Usinagem De Metais),5,651.5
Americana,,Auxiliar De Lavanderia,5,1014.43
Araçoiaba da Serra,,Repositor De Mercadorias,5,1302.1
Itapeva,,Bombeiro Civil,5,3012.86
Itu,,Ajustador Mecânico,5,937.15
Americana,,"Operador De Processo (Química, Petroquímica E Afins)",5,2082.41
Itupeva,,Garçom,5,934.05
Araçatuba,,Conferente De Carga E Descarga,5,1646.6
Itapetininga,,Açougueiro,5,1612.2
Pindamonhangaba,,Administrador,5,2449.13
Itupeva,,Eletricista De Manutenção Eletroeletrônica,5,1918.06
Araçariguama,,Vendedor De Comércio Varejista,5,1797.59
Americana,,Encanador,5,2119.65
Itu,,Auxiliar De Manutenção Predial,5,1934.31
Araçatuba,,Mecânico De Manutenção De Máquinas-Ferramentas (Usinagem De Metais),5,947.29
Boituva,,Terapeuta Ocupacional,5,2961.47
Itu,,Controlador De Entrada E Saída,5,1808.82
Araçatuba,,Técnico De Sistemas Audiovisuais,5,8562.78
Itapetininga,,Mecânico De Manutenção De Máquinas Agrícolas,5,5608.29
Itupeva,,Frentista,5,1044.9
Itupeva,,Tecnólogo Em Logística De Transporte,5,1974.36
Americana,,Contramestre De Tecelagem (Indústria Têxtil),5,4929.65
Ibiúna,,Farmacêutico,5,2896.24
Americana,,Recepcionista De Consultório Médico Ou Dentário,5,975.52
Itu,,Gerente De Loja E Supermercado,5,4730.88
Pindamonhangaba,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,5,1159.41
Porto Feliz,,Almoxarife,5,3109.23
Charqueada,,Operador De Pá Carregadeira,5,2779.89
Porto Feliz,,"Recepcionista, Em Geral",5,1997.04
Charqueada,,Professor De História Do Ensino Fundamental,5,2185.53
Porto Feliz,,Visitador Sanitário,5,1887.27
Araçatuba,,Instrutor De Aprendizagem E Treinamento Industrial,5,4126.09
Porto Feliz,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",5,3811.42
Americana,,Técnico Em Eletromecânica,5,929.69
Americana,,Auxiliar De Pessoal,5,847.58
Araçatuba,,Médico Veterinário,5,4543.62
Araçoiaba da Serra,,Gerente De Serviços Educacionais Da Área Pública,5,4270.77
Itapeva,,Telefonista,5,1903.64
Itu,,Auxiliar De Laboratório De Análises Físico-Químicas,5,3883.72
Itu,,Técnico De Planejamento De Produção,5,2302.17
Porto Feliz,,Atendente De Farmácia - Balconista,5,1764.28
Porto Feliz,,Atendente De Lojas E Mercados,5,1415.41
Itu,,Conferente Mercadoria (Exceto Carga E Descarga),5,1670.3
Itupeva,,Cronoanalista,5,1118.08
Porto Feliz,,Impressor Tipográfico,5,10917.39
Itupeva,,Gerente Administrativo,5,9028.55
Itupeva,,Procurador Do Município,5,27222.21
Pindamonhangaba,,"Embalador, A Mão",5,975.03
Americana,,Varredor De Rua,5,1384.31
Itupeva,,Telefonista,5,6081.29
Itu,,Arquivista De Documentos,5,1059.22
Piedade,,Psicólogo Clínico,5,4862.74
Piedade,,Procurador Do Município,5,8068.88
Cabreúva,,Vendedor De Comércio Varejista,5,1997.31
Itu,,Cumim,5,657.76
Boituva,,Médico Veterinário,5,5924.36
Araçariguama,,Guincheiro (Construção Civil),5,1656.4
Araçariguama,,Coletor De Lixo Domiciliar,5,1013.36
Cerquilho,,Dirigente Do Serviço Público Municipal,5,3969.48
Itu,,Preparador Físico,5,5391.42
Itapetininga,,Topógrafo,5,2128.43
Araçoiaba da Serra,,Arquiteto Urbanista,5,5745.25
Itu,,Jornalista,5,7094.51
Itapeva,,Operador De Trator De Lâmina,5,2009.55
Itupeva,,Administrador,5,3729.81
Cerquilho,,Supervisor De Vendas Comercial,5,4767.97
Charqueada,,Vendedor De Comércio Varejista,5,706.95
Cerquilho,,Repositor De Mercadorias,5,1282.3
Americana,,Armador De Estrutura De Concreto,5,1996.32
Boituva,,Sepultador,5,1831.57
Cerquilho,,Garçom,5,1624.75
Itupeva,,Gerente De Restaurante,5,2788.92
Itupeva,,Técnico Em Radiologia E Imagenologia,5,8951.22
Cabreúva,,Repositor De Mercadorias,5,831.87
Piedade,,Engenheiro Civil,5,6209.68
Itu,,Técnico Mecânico,4,5574.56
Charqueada,,Agente Comunitário De Saúde,4,1483.21
Cerquilho,,Operador De Empilhadeira,4,1917.09
Itupeva,,Técnico De Planejamento De Produção,4,1967.51
Itapeva,,"Mecânico De Manutenção De Máquinas, Em Geral",4,2571.25
Americana,,Mestre De Trefilação De Metais,4,4336.3
Ibiúna,,Educador Social,4,1933.11
Araçatuba,,Psicólogo Clínico,4,2731.2
Itupeva,,Professor De Alunos Com Deficiência Múltipla,4,5358.84
Itu,,Operador De Telemarketing Técnico,4,2060.96
Americana,,Operador De Máquina Misturadeira (Tratamentos Químicos E Afins),4,3584.66
Boituva,,Tratador De Animais,4,2285.01
Cerquilho,,Visitador Sanitário,4,1667.29
Porto Feliz,,Trabalhador Volante Da Agricultura,4,933.64
Americana,,Condutor De Processos Robotizados De Pintura,4,1956.17
Itu,,Aplicador De Asfalto Impermeabilizante (Coberturas),4,2416.94
Cerquilho,,Leiturista,4,3856.19
Pindamonhangaba,,Trabalhador Agropecuário Em Geral,4,742.31
Itu,,Técnico Em Patologia Clínica,4,2680.08
Pindamonhangaba,,Auxiliar De Logistica,4,961.12
Americana,,Cuidador De Idosos,4,1401.09
Cabreúva,,Assistente De Vendas,4,1572.52
Itu,,Recepcionista De Hotel,4,1733.72
Cerquilho,,Supervisor De Vigilantes,4,7771.66
Itupeva,,Motorista De Furgão Ou Veículo Similar,4,1811.23
Itu,,Serrador De Madeira,4,1221.72
Americana,,Tecelão (Tear Jacquard),4,0
Itapeva,,Auxiliar De Faturamento,4,1086.67
Itu,,Tecnólogo Em Logística De Transporte,4,2254.61
Itapetininga,,Ajudante De Motorista,4,1196.91
Porto Feliz,,Nutricionista,4,3154.9
Itupeva,,"Pintor, A  Pistola (Exceto Obras E Estruturas Metálicas)",4,3028.9
Itu,,Analista De Desenvolvimento De Sistemas,4,2975.97
Itupeva,,Monitor De Sistemas Eletrônicos De Segurança Interno,4,1080.54
Macatuba,,Inspetor De Terraplenagem,4,3305.51
Araçatuba,,Carpinteiro,4,2063.43
Itu,,Técnico Em Instalação De Equipamentos De Áudio,4,2730.64
Itapeva,,Advogado (Direito Público),4,5604.87
Itapeva,,Operador De Motosserra,4,1166.82
Araçatuba,,Bibliotecário,4,12044.51
Ibiúna,,Atendente De Farmácia - Balconista,4,1275.84
Itapeva,,Psicopedagogo,4,3538.03
Araçoiaba da Serra,,Auxiliar Nos Serviços De Alimentação,4,1289.6
Itu,,Inspetor De Terraplenagem,4,2856.87
Americana,,Técnico Eletrônico,4,2492.06
Araçoiaba da Serra,,Atendente De Lojas E Mercados,4,1583.45
Itapetininga,,Engenheiro Civil,4,3285.56
Americana,,Demonstrador De Mercadorias,4,1323.13
Itapeva,,Carvoeiro,4,1526.53
Itapeva,,Técnico De Contabilidade,4,2593.94
Porto Feliz,,Dirigente Do Serviço Público Municipal,4,7236.44
Itu,,Operador De Telemarketing Receptivo,4,1936.72
Porto Feliz,,"Operador De Estação De Captação, Tratamento E Distribuição De Água",4,3582.72
Porto Feliz,,Operador Eletromecânico,4,3217.01
Boituva,,Fonoaudiólogo Geral,4,3756.61
Araçatuba,,Jornalista,4,4290.83
Americana,,Técnico De Vendas,4,1017.19
Porto Feliz,,Tratador De Animais,4,2676.6
Itu,,Chefe De Serviço De Transporte Rodoviário (Passageiros E Cargas),4,3795.67
Araçoiaba da Serra,,Faxineiro,4,1465.58
Araçatuba,,Técnico Em Segurança Do Trabalho,4,3322.91
Americana,,Técnico Em Radiologia E Imagenologia,4,4082
Itapetininga,,Comprador,4,2537.11
Porto Feliz,,Magarefe,4,3767.97
Porto Feliz,,Contador,4,5878.56
Ibiúna,,Auxiliar Em Saúde Bucal,4,1513.22
Araçatuba,,Serralheiro,4,2309.29
Araçatuba,,Motorista De Furgão Ou Veículo Similar,4,2099.09
Itu,,Encanador,4,2605.62
Macatuba,,Auxiliar Em Saúde Bucal,4,2065.22
Araçariguama,,"Embalador, A Mão",4,906.46
Ibiúna,,Almoxarife,4,1471.88
Araçatuba,,Editor De Texto E Imagem,4,1497.56
Itapeva,,Supervisor Administrativo,4,3230.02
Itu,,Canteiro,4,2477.28
Porto Feliz,,Recreador,4,1726.97
Araçatuba,,Técnico Em Manutenção De Hidrômetros,4,3184.56
Cerquilho,,Diretor De Serviços Culturais,4,3993.61
Araçatuba,,Gerente Comercial,4,4353.93
Ibiúna,,Recepcionista De Consultório Médico Ou Dentário,4,10642.14
Araçatuba,,Diretor Administrativo,4,5466.25
Charqueada,,Professor De Geografia Do Ensino Fundamental,4,1819.85
Itapetininga,,Técnico Em Nutrição E Dietética,4,1400.7
Porto Feliz,,Frentista,4,2201.75
Itupeva,,Agente De Saúde Pública,4,4789.39
Araçatuba,,Supervisor Administrativo,4,6606.27
Itapetininga,,Professor De Matemática Do Ensino Fundamental,4,3014.02
Araçatuba,,Agente Funerário,4,1678.58
Araçatuba,,Gerente Administrativo,4,4798.81
Charqueada,,Vigilante,4,2427.07
Araçatuba,,Diretor Administrativo E Financeiro,4,15685.62
Itupeva,,Zelador De Edifício,4,2616.76
Araçatuba,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,4,6502.47
Itupeva,,Farmacêutico,4,4946.84
Americana,,Dirigente De Entidade De Trabalhadores,4,4820.21
Itupeva,,Operador De Telemarketing Receptivo,4,805.67
Araçariguama,,Auxiliar De Manutenção Predial,4,1615.95
Charqueada,,Enfermeiro,4,4197.33
Itu,,Salva-Vidas,4,2089.74
Cerquilho,,Vigia,4,1374.55
Cerquilho,,Atendente De Lojas E Mercados,4,1955.15
Araçoiaba da Serra,,Cirurgião Dentista - Clínico Geral,4,2256.24
Itupeva,,Preparador De Máquinas-Ferramenta,4,0
Itupeva,,Vendedor Em Comércio Atacadista,4,2216.17
Americana,,Cozinhador (Conservação De Alimentos),4,1585.15
Dourado,,Auxiliar De Manutenção Predial,4,1818.28
Cerquilho,,Supervisor De Tesouraria,4,6691.76
Itu,,Auxiliar De Contabilidade,4,2114.33
Itupeva,,"Recepcionista, Em Geral",4,2361.07
Itapeva,,Terapeuta Ocupacional,4,3941.22
Porto Feliz,,Pintor De Obras,4,1681.3
Cerquilho,,Tecelão De Meias (Máquina Circular),4,1344.71
Araçoiaba da Serra,,Engenheiro Civil,4,5567.82
Itapetininga,,Contador,4,3992.34
Itu,,Soldador,4,2516.31
Porto Feliz,,Técnico De Obras Civis,4,3293.11
Cerquilho,,Assistente De Vendas,4,2071.42
Macatuba,,Operador De Caixa,4,1451.85
Americana,,Copeiro De Hospital,4,1068.21
Macatuba,,Carregador (Armazém),4,1453.71
Porto Feliz,,Instrutor De Cursos Livres,4,2484.01
Boituva,,Agente De Ação Social,4,2461.06
Itupeva,,"Operador De Máquinas Fixas, Em Geral",4,2422.49
Araçariguama,,Motorista De Carro De Passeio,4,1783.21
Pindamonhangaba,,Contador,4,1608.69
Itupeva,,Carregador (Armazém),4,1367.23
Piedade,,Tratorista Agrícola,4,2083.54
Araçariguama,,Médico Clínico,4,5322.28
Pindamonhangaba,,Operador De Empilhadeira,4,2999.79
Americana,,Prensista (Operador De Prensa),4,2185.88
Araçoiaba da Serra,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),4,2288.97
Boituva,,Almoxarife,4,1778.68
Araçatuba,,Ajudante De Motorista,4,1711.18
Americana,,Operador De Abertura (Fiação),4,1528.96
Araçariguama,,Operador De Carregadeira,4,2731.07
Araçariguama,,Diretor De Serviços De Saúde,4,3614.97
Americana,,Agente De Vendas De Serviços,4,1601.38
Piedade,,Operador De Máquinas Operatrizes,4,1643.55
Araçariguama,,Operador De Caixa,4,1792.81
Boituva,,Assistente Administrativo,4,1906.29
Araçatuba,,Repórter De Mídias Audiovisuais,4,6633.31
Cerquilho,,Fonoaudiólogo Geral,4,5111.72
Araçoiaba da Serra,,Agente De Saúde Pública,4,2443.54
Charqueada,,Visitador Sanitário,4,2121.56
Itapetininga,,Vigia,4,1137.14
Americana,,Agente Funerário,4,1418.07
Araçatuba,,Montador De Estruturas Metálicas De Embarcações,4,2401.2
Cerquilho,,Gerente De Vendas,4,15775
Charqueada,,Tratorista Agrícola,4,2417.68
Charqueada,,Cirurgião Dentista - Clínico Geral,4,5438.1
Ibiúna,,Médico Anestesiologista,4,13738.96
Araçariguama,,Professor De Língua Espanhola,4,4049.75
Cerquilho,,Pedreiro,4,3324.72
Cabreúva,,Gerente De Compras,3,9040.76
Itapetininga,,Carpinteiro,3,1898.53
Boituva,,Armazenista,3,1084.33
Boituva,,Porteiro De Edifícios,3,2490.41
Araçatuba,,Desenhista Técnico,3,4546.56
Americana,,Assistente De Laboratório Industrial,3,4696.09
Boituva,,"Eletricista De Instalações (Veículos Automotores E Máquinas Operatrizes, Exceto Aeronaves E Embarcações)",3,2931.39
Cerquilho,,Orientador Educacional,3,3588.52
Cerquilho,,Açougueiro,3,1264.67
Dourado,,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),3,3590.16
Cerquilho,,Professor De História Do Ensino Fundamental,3,1222.83
Cerquilho,,Técnico De Obras Civis,3,6185.77
Araçatuba,,Ortoptista,3,5594.15
Araçariguama,,Promotor De Vendas,3,1326.4
Charqueada,,Farmacêutico,3,2613.16
Americana,,Auxiliar Em Saúde Bucal,3,2398.97
Itapetininga,,Armazenista,3,1057.64
Charqueada,,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,3,2222.21
Cerquilho,,Gerente De Produção E Operações,3,4084.94
Boituva,,Auxiliar Nos Serviços De Alimentação,3,988.9
Pindamonhangaba,,Técnico Eletrônico,3,448.23
Cerquilho,,Professor De Matemática Do Ensino Fundamental,3,1189.33
Boituva,,Vigia,3,1270.03
Macatuba,,Enfermeiro,3,7163.3
Boituva,,Técnico Agrícola,3,6769.04
Boituva,,Advogado,3,4373.73
Araçatuba,,Técnico De Garantia Da Qualidade,3,2493.49
Araçatuba,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),3,1243.09
Americana,,Assistente Comercial De Seguros,3,1691.76
Americana,,Marceneiro,3,1603.7
Araçatuba,,Motofretista,3,1258.04
Araçariguama,,Garçom,3,3005.2
Pindamonhangaba,,Motorista De Furgão Ou Veículo Similar,3,1625.1
Piedade,,Farmacêutico,3,4269.44
Itupeva,,Médico Veterinário,3,8523.57
Ibiúna,,Farmacêutico Analista Clínico,3,1632.99
Piedade,,Professor De Educação Física No Ensino Médio,3,2664.28
Americana,,Técnico De Rede (Telecomunicações),3,2274.7
Araçariguama,,Professor De Filosofia No Ensino Médio,3,3534.3
Itu,,Médico Em Radiologia E Diagnóstico Por Imagem,3,11689.74
Americana,,Auxiliar De Manutenção Predial,3,2244.89
Itupeva,,Contador,3,10155.81
Piedade,,Comerciante Varejista,3,959.69
Americana,,Caldeireiro (Chapas De Ferro E Aço),3,527.76
Americana,,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),3,2353.6
Cabreúva,,Apontador De Produção,3,1515.91
Piedade,,Dirigente Do Serviço Público Municipal,3,3977.94
Boituva,,Engenheiro Civil,3,7837.77
Cabreúva,,Ajudante De Motorista,3,1074.2
Ibiúna,,Terapeuta Ocupacional,3,4576.65
Araçatuba,,Contínuo,3,1457.5
Boituva,,Supervisor Administrativo,3,3474.14
Americana,,Auxiliar De Cartório,3,550
Ibiúna,,Nutricionista,3,3254.66
Itapetininga,,Médico Veterinário,3,3419.76
Araçatuba,,Desenhista Industrial Gráfico (Designer Gráfico),3,1902.67
Cerquilho,,Auxiliar Em Saúde Bucal,3,1842.38
Araçatuba,,Mecânico De Manutenção De Máquinas De Construção E Terraplenagem,3,2224.09
Itu,,Lavador De Veículos,3,1355.02
Piedade,,Varredor De Rua,3,1683.85
Itu,,Gerente Administrativo,3,7524.12
Cerquilho,,Serralheiro,3,1868.54
Porto Feliz,,Trabalhador De Fabricação De Tintas,3,6503.07
Itupeva,,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),3,27229.67
Itapeva,,Nutricionista,3,2656.84
Americana,,Técnico De Garantia Da Qualidade,3,1906.16
Itapetininga,,Digitador,3,2805.92
Americana,,Cozinheiro Industrial,3,1679.07
Pindamonhangaba,,Estoquista,3,963.87
Americana,,Operador De Time De Montagem,3,2295.88
Macatuba,,Repositor De Mercadorias,3,1356.25
Porto Feliz,,Psicólogo Clínico,3,3811.82
Piedade,,Técnico De Enfermagem,3,2764.31
Araçatuba,,Desenhista Projetista De Construção Civil,3,3047.54
Itu,,Preparador De Máquinas-Ferramenta,3,1679.12
Macatuba,,Alimentador De Linha De Produção,3,1758.31
Americana,,Laminador De Plástico,3,1645.26
Itu,,Marceneiro,3,1563.89
Macatuba,,Tratorista Agrícola,3,2798.03
Americana,,Cortador De Roupas,3,1931.36
Araçatuba,,Lavador De Veículos,3,1731.83
Porto Feliz,,Assistente De Vendas,3,2022.71
Cabreúva,,Servente De Obras,3,2312.76
Araçatuba,,Dirigente De Entidade De Trabalhadores,3,4332.81
Ibiúna,,Médico Veterinário,3,9324.5
Americana,,Instalador-Reparador De Redes Telefônicas E De Comunicação De Dados,3,1113.63
Araçatuba,,Operador De Escavadeira,3,3657.24
Americana,,Analista De Desenvolvimento De Sistemas,3,2197.64
Pindamonhangaba,,Comerciante Varejista,3,0
Araçatuba,,Mestre (Construção Civil),3,3324.67
Araçatuba,,Fonoaudiólogo Geral,3,3364.83
Itu,,Desenhista Detalhista,3,1910.18
Araçatuba,,Terapeuta Ocupacional,3,4284.54
Araçatuba,,Recepcionista De Consultório Médico Ou Dentário,3,1064.49
Itapeva,,Médico Ginecologista E Obstetra,3,11614.65
Cabreúva,,Atendente De Farmácia - Balconista,3,1484.8
Araçariguama,,Atendente De Lojas E Mercados,3,1591.43
Americana,,Fiscal De Loja,3,1781.85
Itapetininga,,Assistente De Vendas,3,1253.79
Itapetininga,,Atendente De Lanchonete,3,1182.77
Ibiúna,,Faxineiro,3,1245.74
Itapetininga,,Técnico Em Segurança Do Trabalho,3,2373.89
Cerquilho,,Auxiliar Nos Serviços De Alimentação,3,1488.1
Cerquilho,,Revisor De Tecidos Acabados,3,1474.86
Itu,,Tecnólogo Em Meio Ambiente,3,4459.6
Itu,,Engenheiro Agrônomo,3,8372.16
Cabreúva,,Atendente De Lojas E Mercados,3,998.82
Itapetininga,,Recreador,3,2029.57
Dourado,,Alimentador De Linha De Produção,3,1551.55
Itu,,Supervisor De Telefonistas,3,3406.83
Itupeva,,Agente Comunitário De Saúde,3,2663.16
Ibiúna,,Técnico Em Administração,3,967.85
Araçatuba,,Auxiliar De Lavanderia,3,885.29
Ibiúna,,Telefonista,3,3246.71
Cerquilho,,Cortador De Roupas,3,2104.94
Americana,,Vendedor Pracista,3,1608.72
Cerquilho,,Professor De Química No Ensino Médio,3,1144.09
Itu,,Técnico Em Turismo,3,3129.29
Itapetininga,,Soldador,3,2027.92
Itapeva,,Trabalhador Da Elaboração De Pré-Fabricados (Concreto Armado),3,1551
Americana,,Médico Pediatra,3,16773.03
Itu,,Mecânico De Manutenção De Máquinas-Ferramentas (Usinagem De Metais),3,1362.02
Araçatuba,,Técnico Em Radiologia E Imagenologia,3,3816.4
Dourado,,Assistente Administrativo,3,2015.58
Ibiúna,,Engenheiro Civil,3,6204.36
Porto Feliz,,Expedidor De Mercadorias,3,1700.99
Pindamonhangaba,,Cozinheiro Geral,3,1508.58
Itu,,Desenhista Técnico,3,4933.21
Americana,,Apontador De Produção,3,2868.98
Araçatuba,,Enfermeiro Obstétrico,3,3951.01
Itapeva,,Mecânico De Manutenção De Máquinas Agrícolas,3,5425.72
Itapetininga,,Marceneiro,3,1606.53
Porto Feliz,,Técnico Em Segurança Do Trabalho,3,2339.7
Araçoiaba da Serra,,Operador De Caixa,3,1216.09
Itapeva,,Médico Pediatra,3,11438.84
Ibiúna,,Técnico De Imobilização Ortopédica,3,2254.08
Itu,,Agente De Portaria,3,4059.26
Itapeva,,Técnico Agrícola,3,1602.31
Itu,,Gerente De Marketing,3,2284.72
Itupeva,,Vendedor Em Domicílio,3,557.07
Itu,,Biomédico,3,3223.13
Ibiúna,,Contador,3,2561.49
Pindamonhangaba,,Técnico De Manutenção Elétrica,3,3824.22
Americana,,Operador De Urdideira,3,1557.85
Ibiúna,,Motorista De Ônibus Urbano,3,2549.49
Porto Feliz,,Copeiro,3,2586.78
Cerquilho,,Operador De Colheitadeira,3,3219.16
Boituva,,Nutricionista,3,4793.61
Boituva,,Motorista De Furgão Ou Veículo Similar,3,4716.52
Porto Feliz,,Mestre (Construção Civil),3,3298.45
Itapeva,,Operador De Colheitadeira,3,1466.67
Itupeva,,Gerente De Loja E Supermercado,3,4834.09
Porto Feliz,,Vendedor Em Comércio Atacadista,3,4417.34
Ibiúna,,"Embalador, A Mão",3,841.16
Itapeva,,Assessor De Imprensa,3,3463.62
Pindamonhangaba,,Inspetor De Qualidade,3,5106.36
Itapetininga,,Frentista,3,1865.11
Americana,,Operador Eletromecânico,3,537.77
Itapetininga,,Garçom,3,1572.95
Itapetininga,,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",3,1779.8
Ibiúna,,Pintor De Obras,3,2683.11
Porto Feliz,,Trabalhador Agropecuário Em Geral,3,1640.29
Boituva,,Administrador,3,2476.17
Americana,,Médico Ortopedista E Traumatologista,3,12704.15
Itapetininga,,Comerciante Varejista,3,1582.19
Americana,,Médico Cirurgião Geral,3,14155.27
Boituva,,Telefonista,3,3156.68
Araçariguama,,Controlador De Entrada E Saída,3,791.67
Pindamonhangaba,,Assistente De Vendas,3,1359.2
Araçatuba,,Marceneiro,3,2897.2
Boituva,,Operador De Torno Com Comando Numérico,3,3070.37
Itapetininga,,Motofretista,3,942.23
Macatuba,,Encanador,3,2497.73
Itupeva,,Auxiliar De Manutenção Predial,3,1002.54
Itu,,Cuidador Em Saúde,3,2401.08
Boituva,,Ajudante De Confecção,3,1313.87
Macatuba,,Auxiliar De Enfermagem,3,3856.41
Itupeva,,Promotor De Vendas Especializado,3,753.4
Pindamonhangaba,,Técnico De Obras Civis,3,1853.57
Porto Feliz,,Motorista De Furgão Ou Veículo Similar,3,3344.24
Porto Feliz,,"Embalador, A Mão",3,1333.21
Itu,,Técnico Em Agrimensura,3,3748.65
Itu,,Técnico Em Secretariado,3,1121.21
Pindamonhangaba,,Gerente Comercial,3,3120.47
Ibiúna,,Servente De Obras,3,1460.94
Itupeva,,Fonoaudiólogo Geral,3,8095.05
Itu,,Bibliotecário,3,3466.2
Itu,,Terapeuta Ocupacional,3,3008.42
Itu,,Porteiro (Hotel),3,3147.06
Pindamonhangaba,,Conferente De Carga E Descarga,3,1669.26
Itu,,"Operador De Produção (Química, Petroquímica E Afins)",3,1739.81
Ibiúna,,Consultor Jurídico,3,5824.96
Porto Feliz,,Motorista De Caminhão (Rotas Regionais E Internacionais),3,2571.12
Macatuba,,Operador De Máquinas De Construção Civil E Mineração,3,2159.31
Itupeva,,Vigia,3,4109.25
Pindamonhangaba,,Serralheiro,3,2331.47
Piedade,,Agente De Saúde Pública,3,2362.68
Itupeva,,Eletricista De Instalações,3,3617.16
