ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,quantidade_vinculos_clt,quantidade_vinculos_estatutarios,natureza_estabelecimento,natureza_juridica,tamanho_estabelecimento,tipo_estabelecimento,indicador_cei_vinculado,indicador_pat,indicador_simples,indicador_rais_negativa,indicador_atividade_ano,cnae_1,cnae_2,cnae_2_subclasse,subsetor_ibge,subatividade_ibge,cep,bairros_sp,distritos_sp,bairros_fortaleza,bairros_rj,regioes_administrativas_df,nome_municipio
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01199,0119904,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01210,01199,0119904,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01199,0119904,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01199,0119904,25,,18170000,9999,9999,,,,Piedade
2021,SP,3502903,0,0,0,,4081,1,1,0,0,0,1,1,01198,01199,0119905,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01198,01199,0119905,25,,18170000,9999,9999,,,,Piedade
2021,SP,3502903,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119905,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01198,01199,0119906,25,,18170000,9999,9999,,,,Piedade
2021,SP,3540606,0,0,0,,4120,1,1,0,0,0,1,0,01198,01199,0119906,25,,18540000,9999,9999,,,,Porto Feliz
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119908,25,,18190000,9999,9999,,,,Piedade
2021,SP,3502903,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119909,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3502903,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119909,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3519709,0,0,0,,2062,1,1,0,0,1,1,1,01198,01199,0119999,25,,18150000,9999,9999,,,,Ibiúna
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119999,25,,99999999,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119999,25,,18215899,9999,9999,,,,Itapetininga
2021,SP,3502903,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119999,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3508405,0,0,0,,2062,1,1,0,0,0,1,9,01198,01199,0119999,25,,13315000,9999,9999,,,,Cabreúva
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119999,25,,18170000,9999,9999,,,,Piedade
2021,SP,3523909,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119999,25,,13300970,9999,9999,,,,Itu
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3519709,0,0,0,,4120,1,1,0,0,0,1,0,01210,01211,0121101,25,,18150000,9999,9999,,,,Ibiúna
2021,SP,3502903,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3502804,0,0,0,,4120,1,1,0,0,0,1,0,01210,01211,0121101,25,,16010000,9999,9999,,,,Araçatuba
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3523909,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,13304350,9999,9999,,,,Itu
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,0,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3522307,0,0,0,,4022,1,1,0,0,1,1,1,01210,01211,0121101,25,,18200999,9999,9999,,,,Itapetininga
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3522307,0,0,0,,4022,1,1,0,0,1,1,1,01210,01211,0121101,25,,18218000,9999,9999,,,,Itapetininga
2021,SP,3508405,0,0,0,,4081,1,1,0,0,0,1,0,01210,01211,0121101,25,,13315000,9999,9999,,,,Cabreúva
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18215899,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4022,1,1,0,0,1,1,1,01210,01211,0121101,25,,18200999,9999,9999,,,,Itapetininga
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3538006,0,0,0,,2135,1,1,0,0,1,1,0,01210,01211,0121101,25,,12424710,9999,9999,,,,Pindamonhangaba
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3502903,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3501608,0,0,0,,2062,1,1,0,0,1,1,1,01210,01211,0121101,25,,13477460,9999,9999,,,,Americana
