nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_clt,salario_medio
Itapeva,,Auxiliar Nos Serviços De Alimentação,192,1333.76
Araçatuba,,Promotor De Vendas,192,1894.64
Boituva,,Operador De Máquina De Envasar Líquidos,191,3065.14
Pindamonhangaba,,Enfermeiro,190,4815.38
Pindamonhangaba,,Eletricista De Manutenção Eletroeletrônica,190,4887.71
Araçatuba,,Supervisor De Vendas Comercial,190,4049.58
Americana,,Técnico Em Segurança Do Trabalho,189,4297.97
Itu,,Gerente De Loja E Supermercado,189,4041.69
Itapetininga,,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,189,1366.56
Itapeva,,Tratorista Agrícola,189,2315.85
Boituva,,Ajudante De Motorista,188,1772.31
Itapeva,,Operador De Motosserra,187,1386.16
Pindamonhangaba,,"Operador De Máquinas Fixas, Em Geral",187,2035.84
Araçatuba,,Motorista De Carro De Passeio,184,2132.13
Boituva,,Repositor De Mercadorias,184,1553
Itapetininga,,Porteiro De Edifícios,184,1620.64
Cabreúva,,Soldador Elétrico,183,2919.04
Americana,,Comprador,183,3574.94
Macatuba,,Tratorista Agrícola,183,3156.61
Ibiúna,,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",183,3298.44
Araçariguama,,"Recepcionista, Em Geral",183,1682.16
Cabreúva,,Operador De Caixa,182,1797.21
Araçariguama,,Operador De Empilhadeira,181,2495.42
Pindamonhangaba,,Operador De Torno Com Comando Numérico,181,6986.85
Americana,,Operador De Máquinas-Ferramenta Convencionais,181,2873.77
Itapetininga,,Trabalhador Volante Da Agricultura,180,1598.97
Itu,,Atendente De Farmácia - Balconista,180,1926.82
Americana,,Estampador De Tecido,180,2142.12
Pindamonhangaba,,Atendente De Lanchonete,180,1353.67
Araçatuba,,"Mecânico De Manutenção De Máquinas, Em Geral",179,3537.73
Porto Feliz,,Trabalhador No Cultivo De Árvores Frutíferas,178,1266.52
Pindamonhangaba,,Operador De Empilhadeira,178,3153.29
Itu,,Operador De Máquinas Operatrizes,177,2963.36
Itapetininga,,Motorista De Furgão Ou Veículo Similar,177,1967.9
Itu,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),176,1275.04
Pindamonhangaba,,Vigilante,176,2666.16
Araçatuba,,Motofretista,174,1847.66
Americana,,Inspetor De Qualidade,174,3369.63
Americana,,Eletricista De Instalações,174,2449.77
Cabreúva,,Mãe Social,173,1375.42
Itu,,Gerente De Vendas,173,9889.89
Itapetininga,,Operador De Trator Florestal,172,2003.31
Pindamonhangaba,,Operador De Aciaria (Recebimento De Gusa),172,4697.94
Americana,,Técnico De Planejamento De Produção,172,4239.56
Porto Feliz,,"Costureiro, A  Máquina  Na Confecção Em Série",172,1616.76
Americana,,Gerente De Contas - Pessoa Física E Jurídica,171,7109.66
Cerquilho,,Almoxarife,170,2090.8
Americana,,Motorista De Ônibus Rodoviário,170,2906.32
Itu,,Operador De Torno Com Comando Numérico,170,3431.39
Itupeva,,Assistente De Vendas,170,2586.05
Piedade,,Atendente De Lojas E Mercados,170,1572.72
Araçatuba,,Administrador,170,4623.15
Porto Feliz,,Porteiro De Edifícios,169,1839.63
Americana,,Auxiliar De Logistica,168,1838.21
Americana,,Cortador De Roupas,167,1969.13
Ibiúna,,Atendente De Lojas E Mercados,167,1627.17
Boituva,,Atendente De Lanchonete,167,1485.99
Araçatuba,,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),166,2915.27
Americana,,Montador De Estruturas Metálicas,166,2506.19
Itu,,Gerente Comercial,166,8186.67
Itapetininga,,Atendente De Farmácia - Balconista,166,1824.42
Itu,,Eletricista De Manutenção Eletroeletrônica,165,3899.74
Araçoiaba da Serra,,Faxineiro,165,1561.37
Pindamonhangaba,,Agente Comunitário De Saúde,164,2309.46
Itupeva,,Técnico De Planejamento De Produção,164,5268.45
Americana,,Montador De Instrumentos De Precisão,164,2504.26
Araçatuba,,Zelador De Edifício,164,2309.57
Araçoiaba da Serra,,Vendedor De Comércio Varejista,163,1965.83
Pindamonhangaba,,Técnico Mecânico,163,6728.39
Pindamonhangaba,,Gerente Administrativo,163,4463.41
Itu,,Costureiro Na Confecção Em Série,163,1531.82
Itupeva,,Técnico De Enfermagem,163,2116.04
Itu,,Trabalhador Da Suinocultura,162,1831.44
Cerquilho,,Tratorista Agrícola,162,2481.68
Ibiúna,,"Embalador, A Mão",162,1334.01
Itapetininga,,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),161,1557.77
Itupeva,,Apontador De Produção,161,3116.72
Americana,,Gerente De Produção E Operações,161,10057.69
Itu,,Técnico De Enfermagem,161,2368.41
Itu,,Comprador,160,4474.93
Pindamonhangaba,,Açougueiro,160,2011.5
