nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Itupeva,Inspetor De Qualidade,366,3486.95
Itu,Trabalhador Agropecuário Em Geral,366,1671.26
Americana,Administrador,365,3666.97
Araçariguama,Auxiliar De Escritório,364,1782.6
Araçatuba,Auxiliar De Contabilidade,364,2208.36
Itapetininga,"Mecânico De Manutenção De Máquinas, Em Geral",361,2895.98
Americana,Ajudante De Motorista,360,1658.23
Itu,Supervisor Administrativo,357,4572.03
Pindamonhangaba,Soldador,356,3484.7
Itapeva,Serrador De Madeira,356,1470.39
Ibiúna,Operador De Caixa,356,1720.1
Itupeva,Operador De Máquinas-Ferramenta Convencionais,355,3175.39
Araçatuba,Ajudante De Motorista,349,1706.94
Americana,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",348,2485.07
Pindamonhangaba,Inspetor De Qualidade,345,5191.87
Pindamonhangaba,Repositor De Mercadorias,345,1534.85
Porto Feliz,Babá,344,1869.3
Pindamonhangaba,Auxiliar Nos Serviços De Alimentação,344,1366.26
Itapeva,Atendente De Lojas E Mercados,344,1450.48
Americana,Eletricista De Manutenção Eletroeletrônica,343,4976.76
Itu,Servente De Obras,342,1704.07
Americana,Contador,340,4885.23
Americana,Pedreiro,339,2095.21
Araçatuba,"Embalador, A Mão",338,1149.26
Itu,Operador De Máquina De Dobrar Chapas,338,2841.21
Itapetininga,"Recepcionista, Em Geral",335,1471.48
Itapeva,Trabalhador Da Manutenção De Edificações,333,1567.19
Americana,Ajudante De Confecção,332,1485.63
Itapeva,Cozinheiro Geral,332,1315.48
Americana,Atendente De Farmácia - Balconista,331,2390.28
Itapetininga,Açougueiro,331,1791.92
Itu,Inspetor De Qualidade,330,3607.86
Itupeva,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,328,2781.64
Pindamonhangaba,Trabalhador Agropecuário Em Geral,328,1497.9
Araçatuba,Motorista De Carro De Passeio,328,2561.94
Itupeva,Atendente De Lojas E Mercados,327,1647.02
Itapetininga,Auxiliar Nos Serviços De Alimentação,327,1377.21
Cabreúva,Operador De Empilhadeira,326,2963.65
Americana,Enfermeiro,326,4826.46
Porto Feliz,Faxineiro,325,1537.86
