nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Dourado,Jardineiro,8,2048.33
Itapetininga,Marmorista (Construção),8,2190.03
Pindamonhangaba,Atendente De Enfermagem,8,2009.22
Porto Feliz,Recreador,8,2225.04
Itu,Engenheiro Agrônomo,8,8927.38
Araçoiaba da Serra,"Embalador, A Mão",8,1427.21
Itupeva,Agente De Saúde Pública,8,5194.96
Itu,Professor De Educação Física No Ensino Médio,8,4006.04
Ibiúna,Auxiliar De Veterinário,8,1328.48
Boituva,Recebedor De Apostas (Loteria),8,1298.81
Dourado,Trabalhador Da Pecuária (Eqüinos),8,2336.05
Itapetininga,"Encarregado De Manutenção De Instrumentos De Controle, Medição E Similares",8,2085.79
Itupeva,Sepultador,8,3207.08
Americana,Professor De Filosofia No Ensino Médio,8,2476.04
Boituva,Gerente De Agência,8,10638.49
Araçatuba,Impressor (Serigrafia),8,1910.76
Cerquilho,Trabalhador De Fabricação De Sorvete,8,1564.95
Araçariguama,Operador De Escavadeira,8,2734.37
Araçatuba,Professor De Enfermagem Do Ensino Superior,8,9193.89
Americana,Gerente De Serviços Sociais,8,3617.63
Boituva,Demonstrador De Mercadorias,8,2712.81
Cerquilho,Técnico Em Radiologia E Imagenologia,8,4114.47
Boituva,Estofador De Móveis,8,1578.1
Americana,Engenheiro Eletricista De Projetos,8,10651.62
Araçatuba,Supervisor De Fabricação De Produtos De Vidro,8,3976.26
Araçatuba,Professor De Língua E Literatura Brasileira No Ensino Médio,8,1459.18
Boituva,Técnico De Planejamento E Programação Da Manutenção,8,3207.18
Charqueada,"Costureiro, A  Máquina  Na Confecção Em Série",8,1315.54
Porto Feliz,Preparador De Sucata E Aparas,8,1556.95
Ibiúna,Trabalhador Da Pecuária (Bovinos Leite),8,1481.42
Pindamonhangaba,"Operador De Sala De Controle De Instalações Químicas, Petroquímicas E Afins",8,5698.96
Pindamonhangaba,Diretor Financeiro,8,14260.69
Boituva,Pesquisador Em Psicologia,8,4005.83
Itapetininga,Manicure/Pedicure,8,1577.66
Itupeva,Instrutor De Cursos Livres,8,1746.75
Americana,Técnico Em Mecânica De Precisão,8,7846.51
Macatuba,Auxiliar De Contabilidade,8,2561.26
Charqueada,Assistente Social,8,2241.77
Cabreúva,Técnico De Obras Civis,8,5744.38
Americana,Auxiliar De Enfermagem Do Trabalho,8,2602.08
Pindamonhangaba,Diretor Administrativo E Financeiro,8,11112.85
Macatuba,Operador De Empilhadeira,8,2508.68
Pindamonhangaba,Farmacêutico Industrial,8,15710.02
Itapeva,Tosador De Animais Domésticos,8,1287.42
Macatuba,Pesquisador Em Biologia Ambiental,8,9305.49
Itapetininga,Técnico De Alimentos,8,1560.51
Pindamonhangaba,Desenhista Industrial Gráfico (Designer Gráfico),8,1752.87
Piedade,Trabalhador Da Elaboração De Pré-Fabricados (Cimento Amianto),7,1808.43
Americana,Bibliotecário,7,5097.21
Cerquilho,"Supervisor Da Confecção De Artefatos De Tecidos, Couros E Afins",7,7802.34
Piedade,Agente De Portaria,7,1668.2
Charqueada,Analista De Recursos Humanos,7,2715.08
Cerquilho,Ajustador De Instrumentos De Precisão,7,1496.25
Pindamonhangaba,Operador De Cabine De Laminação (Fio-Máquina),7,4671.26
Itapetininga,Supervisor De Usina De Concreto,7,1803.99
Itapeva,Operador De Britador De Mandíbulas,7,1246.88
Pindamonhangaba,Técnico Em Plástico,7,4959.21
Itapetininga,Instalador-Reparador De Linhas E Aparelhos De Telecomunicações,7,2175.73
Itu,Chapeador De Carrocerias Metálicas (Fabricação),7,1776.2
Pindamonhangaba,Oleiro (Fabricação De Tijolos),7,1467.65
Itapeva,"Trabalhador Da Cultura De Trigo, Aveia, Cevada E Triticale",7,1499.24
Itu,Preparador De Rações,7,1863.74
Macatuba,Serralheiro,7,1975.27
Itupeva,Tecnólogo Em Radiologia,7,3500.69
Americana,Diretor Financeiro,7,8612.78
Cerquilho,Nutricionista,7,4449.2
Macatuba,Pintor De Obras,7,2321.18
Dourado,Técnico Em Eletromecânica,7,7540.76
Araçariguama,Escrevente,7,3546.05
Itu,Chapeador,7,2028.89
Piedade,Encanador,7,1690.64
Itapetininga,Operador De Equipamento De Destilação De Álcool,7,1544.87
Araçariguama,Operador De Máquinas Especiais Em Conservação De Via Permanente (Trilhos),7,1067.99
Itu,"Tecelão De Malhas, A  Máquina",7,1584.99
Araçoiaba da Serra,Pintor A Pincel E Rolo (Exceto Obras E Estruturas Metálicas),7,1666.3
Itupeva,Supervisor De Recepcionistas,7,2424.51
Itu,Professor Instrutor De Ensino E Aprendizagem Em Serviços,7,2977.3
Americana,Designer De Interiores,7,3019.09
Porto Feliz,Atendente Comercial (Agência Postal),7,2642.65
Araçatuba,Diretor Financeiro,7,12197.78
Itapetininga,Tratador De Animais,7,1811.78
Itupeva,Operador De Rameuse,7,849.02
Pindamonhangaba,Supervisor De Manutenção De Máquinas Operatrizes E De Usinagem,7,14457
Macatuba,Contador,7,5483.22
Araçariguama,Técnico Em Eletromecânica,7,4894.95
Itapeva,Terapeuta Ocupacional,7,3228.02
Porto Feliz,Inspetor De Serviços De Transportes Rodoviários (Passageiros E Cargas),7,1813.22
Ibiúna,Auxiliar De Produção Farmacêutica,7,1730.27
Boituva,Fisioterapeuta Geral,7,3322.53
Piedade,Especialista Em Pesquisa Operacional,7,3883.87
Porto Feliz,Inspetor De Alunos De Escola Privada,7,1352.03
Itupeva,Operador De Computador,7,2291.66
Dourado,Soldador,7,2418.76
Cerquilho,Cortador De Tapeçaria,7,1423.8
Araçatuba,Cobrador De Transportes Coletivos (Exceto Trem),7,0
Itapeva,Gerente De Agência,7,11043.69
Araçatuba,"Técnico De Utilidade (Produção E Distribuição De Vapor, Gases, Óleos, Combustíveis, Energia)",7,0
Cabreúva,Operador De Máquina De Envasar Líquidos,7,2773.14
Araçatuba,Advogado De Empresa,7,9317.36
Araçatuba,Professor De Química No Ensino Médio,7,1884.48
Pindamonhangaba,Bibliotecário,7,5580.92
Boituva,Caldeireiro (Chapas De Ferro E Aço),7,3820.56
Araçatuba,Professor De Física No Ensino Médio,7,2622.94
Araçatuba,Programador Visual Gráfico,7,2024.72
Itu,Avaliador De Bens Móveis,7,2758.78
Itupeva,Operador De Centro De Controle ( Sinterização),7,3327.38
Piedade,Fiscal De Tributos Municipal,7,4782.89
Pindamonhangaba,Prensista (Operador De Prensa),7,2737
Boituva,Operador De Computador,7,2065.07
Piedade,Coletor De Lixo Domiciliar,7,1802.09
Araçariguama,Gerente De Recursos Humanos,7,9341.94
Itupeva,Professor De Filosofia No Ensino Médio,7,4149.88
Boituva,Montador De Filmes,7,1832.34
Piedade,Rebarbador De Metal,7,1646.75
Dourado,Montador De Móveis E Artefatos De Madeira,7,2431.15
Araçariguama,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),7,4439.17
Cabreúva,Diretor Administrativo,7,18526.37
Itupeva,Eletricista De Instalações (Edifícios),7,3881.9
Boituva,Supervisor Da Indústria De Bebidas,7,6149.84
Cabreúva,Nutricionista,7,5889.42
Boituva,Cuidador De Idosos,7,1371.06
Boituva,Supervisor De Contas A Pagar,7,4488.24
Boituva,Consultor Jurídico,7,1446.81
Piedade,Confeccionador De Pneumáticos,7,2032.26
Itupeva,Médico Do Trabalho,7,11262.89
Porto Feliz,Preparador De Estruturas Metálicas,7,1772.34
Cerquilho,Analista De Redes E De Comunicação De Dados,7,5086.21
Itapeva,Agente De Saúde Pública,7,2998.25
Itupeva,Gerente De Desenvolvimento De Sistemas,7,16782.24
Ibiúna,Orientador Educacional,7,567.33
Piedade,Encarregado De Manutenção Mecânica De Sistemas Operacionais,7,2521.64
Itu,Operador De Máquina De Envasar Líquidos,7,474.9
Itupeva,Professor De Matemática Do Ensino Fundamental,7,4507.44
Itu,Dirigente De Entidade De Trabalhadores,7,5322.8
Araçoiaba da Serra,Carteiro,7,3813.59
Cabreúva,Ajudante De Confecção,7,1370.06
Ibiúna,Professor De Ciências Exatas E Naturais Do Ensino Fundamental,7,1631.06
Cerquilho,Operador De Moenda Na Fabricação De Açúcar,7,2917.38
Cerquilho,Contramestre De Tecelagem (Indústria Têxtil),7,2346
Porto Feliz,Consultor Jurídico,7,4363.43
Cabreúva,Acabador De Embalagens (Flexíveis E Cartotécnicas),7,1552.5
Cabreúva,Carpinteiro,7,3848.72
Itapetininga,Lubrificador Industrial,7,2452.43
Itu,Agente De Portaria,7,3045.08
Piedade,Caseiro (Agricultura),7,1423.45
Americana,"Operador De Pavimentadora (Asfalto, Concreto E Materiais Similares)",7,3089.7
Boituva,Engenheiro De Controle E Automação,7,7102.53
Porto Feliz,Analista De Exportação E Importação,7,5478.97
Cerquilho,Médico Clínico,7,5891.63
Americana,Professor De Nível Médio No Ensino Profissionalizante,7,1226.68
Araçariguama,Operador De Máquinas De Beneficiamento De Produtos Agrícolas,7,1683.39
Porto Feliz,Operador De Computador,7,2120.15
Itupeva,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),7,1955.08
Porto Feliz,Mestre (Indústria Têxtil E De Confecções),7,5700.67
Araçatuba,Assentador De Revestimentos Cerâmicos,7,1525.85
Itapetininga,Classificador De Madeira,7,1954.44
Piedade,Jardineiro,7,1513.74
Itu,Professor De Dança,7,832.15
Porto Feliz,Técnico De Vendas,7,10521.59
Araçatuba,Técnico De Sistemas Audiovisuais,7,7302.73
Itupeva,Operador De Telemarketing Ativo,7,1689.13
Porto Feliz,Advogado,7,4702.6
Araçatuba,Digitador,7,1728.32
Araçariguama,Mecânico De Manutenção De Tratores,7,4609.45
Porto Feliz,Trabalhador No Cultivo De Trepadeiras Frutíferas,7,1182.15
Itupeva,Desenhista Técnico (Construção Civil),7,2545.55
Araçatuba,Técnico Em Óptica E Optometria,7,2955.33
Pindamonhangaba,Operador De Máquina De Produtos Farmacêuticos,7,2731.83
Itapeva,Operador De Máquina De Fabricar Papel E Papelão,7,2160.91
Piedade,Estofador De Móveis,7,1420.43
Itapetininga,Supervisor De Recepcionistas,7,1991.93
Itapetininga,Carpinteiro De Carretas,7,2082.17
Americana,Chefe De Serviços Bancários,7,4538.51
Itapetininga,Professor De Matemática Do Ensino Fundamental,7,2184.63
Araçariguama,Gerente De Compras,7,7163.26
Boituva,Mestre (Indústria De Madeira E Mobiliário),7,3866.2
Americana,Gerente De Hotel,7,3016.39
Macatuba,Apontador De Produção,7,2705.79
Cabreúva,Desenvolvedor De Multimídia,7,4244.06
Charqueada,Secretária(O) Executiva(O),7,3134.97
Itupeva,Operador De Acabamento (Indústria Gráfica),7,2664.48
Americana,Médico Anestesiologista,7,17794.73
Americana,Técnico Em Manutenção De Equipamentos E Instrumentos Médico-Hospitalares,7,4045.35
Pindamonhangaba,Cobrador Interno,7,1793.02
Boituva,Operador De Colheitadeira,7,3605.72
Piedade,Vendedor Pracista,7,1568.02
Porto Feliz,Massoterapeuta,7,3391.52
Araçatuba,Designer De Interiores,7,1639.56
Cabreúva,Fundidor De Metais,7,1541.1
Itupeva,Operador De Escavadeira,7,4843.89
Itapeva,Montador De Máquinas Operatrizes Para Madeira,7,2408.97
Porto Feliz,Chefe De Cozinha,7,4357.85
Itapeva,Cobrador Interno,7,1624.22
Pindamonhangaba,Operador De Máquinas Operatrizes,7,2151.36
Pindamonhangaba,Sushiman,7,1464.53
Porto Feliz,"Trabalhador Na Olericultura (Talos, Folhas E Flores)",7,1623.94
Araçatuba,Supervisor De Exploração Pecuária,7,2807.61
Boituva,Advogado,7,4608.08
Cabreúva,Camareiro  De Hotel,7,1506.78
Americana,Classificador De Fibras Têxteis,7,2425.98
Boituva,Técnico De Apoio Em Pesquisa E Desenvolvimento (Exceto Agropecuário E Florestal),7,3446.61
Cerquilho,Borracheiro,7,2287.21
Itupeva,Impressor Tipográfico,7,2998.63
Itu,Polidor De Pedras,7,2186.14
Porto Feliz,Operador De Prensa De Embutir Papelão,7,2386.65
Charqueada,Educador Social,7,1157.04
Itapeva,Operador De Motoniveladora,7,2685.3
Cerquilho,Técnico Em Manutenção De Máquinas,7,3846.95
Dourado,Mecânico De Manutenção De Máquinas Agrícolas,7,3049.69
Macatuba,Técnico Em Segurança Do Trabalho,7,3494.59
Boituva,Tosador De Animais Domésticos,7,1325.1
Itu,Arquivista De Documentos,7,1157.5
Boituva,Terapeuta Ocupacional,7,3489.05
Cabreúva,Cozinheiro Industrial,7,1513.68
Itapeva,Supervisor De Exploração Agropecuária,7,4519.43
Cabreúva,Técnico Em Pecuária,7,3094.04
Araçatuba,Operador De Laminador,7,2344.47
Itupeva,Operador De Britador De Mandíbulas,7,2036.22
Itapeva,Fonoaudiólogo Geral,7,2862.3
Macatuba,Professor De Alunos Com Deficiência Mental,7,2127.29
Piedade,Operador De Centro De Usinagem Com Comando Numérico,7,2206.2
Pindamonhangaba,Técnico Em Administração,7,6003.63
Pindamonhangaba,Caseiro (Agricultura),7,1702.75
Piedade,Xaropeiro,7,1808.05
Cerquilho,Cuidador De Idosos,7,1496.26
Cabreúva,Técnico Em Automobilística,7,4933.76
Boituva,Mecânico De Manutenção E Instalação De Aparelhos De Climatização E  Refrigeração,7,2602.85
Itupeva,Contínuo,7,1767.24
Americana,Gerente De Infraestrutura De Tecnologia Da Informação,7,13346.95
Porto Feliz,Tosador De Animais Domésticos,7,1657.79
Pindamonhangaba,Ajustador Ferramenteiro,7,1606.12
Araçatuba,Operador De Estação De Bombeamento,7,2422.28
Pindamonhangaba,Químico,7,7524.4
Cabreúva,Gerente De Serviços Educacionais Da Área Pública,7,6183.34
Americana,Professor De Dança,7,1553.27
Pindamonhangaba,Professor De Geografia Do Ensino Fundamental,7,1095.91
Araçariguama,Gerente De Pesquisa E Desenvolvimento (P&D),7,14377.98
Porto Feliz,Atendente De Enfermagem,7,1999.92
Itapetininga,Enfermeiro Obstétrico,7,5789.84
Itu,Jornalista,7,5761.83
Araçariguama,Supervisor De Embalagem E Etiquetagem,7,2321.44
Itapetininga,Mecânico De Manutenção De Motocicletas,7,1510.22
Itu,Agente De Defesa Ambiental,7,4450.87
Ibiúna,Professor De Língua Portuguesa,7,1265.74
Araçatuba,Gerente De Operações De Correios E Telecomunicações,7,6135.12
Itapetininga,Professor De História Do Ensino Fundamental,7,1520.44
Araçatuba,Técnico Em Eletromecânica,7,2446.96
Araçariguama,Classificador De Madeira,7,1053.71
Itapeva,Cozinheiro De Hospital,7,1649.22
Itapetininga,Analista De Redes E De Comunicação De Dados,7,4846.88
Itapetininga,Mecânico De Manutenção De Bomba Injetora (Exceto De Veículos Automotores),7,1635.84
Cerquilho,Monitor De Transporte Escolar,7,976.65
Pindamonhangaba,Emendador De Cabos Elétricos E Telefônicos (Aéreos E Subterrâneos),7,2057.93
Piedade,Preparador De Estruturas Metálicas,7,247.16
Pindamonhangaba,Cortador De Pedras,7,1870.16
Itapeva,Cabeleireiro,7,1457.97
Itapeva,Intérprete De Língua De Sinais,7,1373.81
Dourado,Farmacêutico,7,3301.62
Pindamonhangaba,Instalador De Linhas Elétricas De Alta E Baixa - Tensão (Rede Aérea E Subterrânea),7,2298.85
Porto Feliz,Supervisor De Logística,7,9297.56
Boituva,Impressor (Serigrafia),7,2432.46
Itu,Operador De Máquina De Sinterizar,7,2549.16
Itapeva,Costureira De Reparação De Roupas,7,1304.11
Itapetininga,Arrematadeira,7,1606.87
Itapetininga,Desenhista Industrial Gráfico (Designer Gráfico),7,1620.2
Itapetininga,Cortador De Roupas,7,1359.44
Pindamonhangaba,Mecânico De Manutenção De Máquinas Agrícolas,7,2211.81
Araçatuba,Supervisor De Manutenção Elétrica De Alta Tensão Industrial,7,3046.53
Araçoiaba da Serra,Lavador De Veículos,7,1644.78
Itapetininga,Preparador De Máquinas-Ferramenta,7,2118.32
Boituva,Operador De Ponte Rolante,7,2872.78
Itapetininga,Agente De Vendas De Serviços,7,2184.48
Porto Feliz,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",7,6186.98
Piedade,Agente Funerário,7,2210.64
Itu,Operador De Ceifadeira Na Conservação De Vias Permanentes,7,1206.11
Ibiúna,Operador De Máquinas De Construção Civil E Mineração,7,1882.84
Ibiúna,Dirigente Do Serviço Público Municipal,7,11115.76
Americana,Mestre (Indústria De Madeira E Mobiliário),7,3377.68
Cabreúva,Técnico Em Plástico,7,3811.31
Araçariguama,Supervisor De Tesouraria,7,4848.32
Macatuba,Operador De Máquinas-Ferramenta Convencionais,7,2055.58
Araçatuba,Surfassagista,7,2521.74
Pindamonhangaba,Chefe De Cozinha,7,3077.71
Araçatuba,Redator De Publicidade,7,3182.92
Araçariguama,Trabalhador Volante Da Agricultura,7,1817.47
Americana,Forneiro E Operador (Forno Elétrico),7,5659.43
Americana,Supervisor De Exploração Agrícola,7,2511.04
Araçatuba,Supervisor Da Manutenção E Reparação De Veículos Leves,7,3371.91
Ibiúna,Porteiro (Hotel),7,1542.47
Itapetininga,Mecânico De Refrigeração,7,1909.76
Itupeva,Soldador Elétrico,7,4646.44
Araçatuba,Apontador De Mão-De-Obra,7,2351.24
Itapetininga,"Supervisor De Manutenção Eletromecânica Industrial, Comercial E Predial",7,3364.28
Itu,"Supervisor De Manutenção De Aparelhos Térmicos, De Climatização E De Refrigeração",7,5488.66
Americana,Técnico De Transmissão (Telecomunicações),7,3090.46
Pindamonhangaba,Trabalhador Volante Da Agricultura,7,1525.43
Araçoiaba da Serra,Auxiliar De Faturamento,7,2742.64
Araçatuba,Enfermeiro Obstétrico,7,3979.42
Cerquilho,Lavador De Roupas  A Maquina,7,1553.52
Itapetininga,Mecânico Montador De Motores De Explosão E Diesel,7,2009.97
Pindamonhangaba,Moleiro (Tratamentos Químicos E Afins),7,1507.89
Itupeva,Ajudante De Confecção,7,1435.53
Araçatuba,,7,3608.25
Araçariguama,Zelador De Edifício,7,2512.66
Porto Feliz,Pintor A Pincel E Rolo (Exceto Obras E Estruturas Metálicas),7,3168.49
Americana,Cabeleireiro,7,1830.83
Dourado,Atendente De Lanchonete,7,1402.82
Itapetininga,Agente De Viagem,7,1483.4
Araçatuba,Corretor De Imóveis,7,1741.04
Cerquilho,Economista Financeiro,7,2998.61
Boituva,Lavador De Veículos,7,1559.71
Piedade,Promotor De Vendas Especializado,7,2143.46
Araçatuba,Arquivista De Documentos,7,1687.43
Araçatuba,Condutor De Ambulância,7,1587.34
Americana,Técnico Têxtil De Tecelagem,7,6797.05
Cabreúva,Terapeuta Ocupacional,7,3556.74
Itapeva,Preparador De Sucata E Aparas,7,1346.48
Pindamonhangaba,Operador De Guindaste (Fixo),7,2848.73
Pindamonhangaba,Professor De Língua Portuguesa,7,744.98
Itupeva,Mestre De Usinagem,7,4862.68
Dourado,Gerente Comercial,7,4706.08
Itapeva,Sócioeducador,7,1314.17
Ibiúna,Auxiliar De Laboratório De Análises Clínicas,7,1607.38
Americana,Editor De Mídia Audiovisual,7,1811.6
Araçatuba,Porteiro (Hotel),7,1711.08
Itu,Editor De Texto E Imagem,7,3721.7
Cerquilho,Cronoanalista,7,2079.19
Itapetininga,Avaliador De Imóveis,7,1980.95
Itapetininga,Fiscal De Transportes Coletivos (Exceto Trem),7,1329.32
Araçariguama,Preparador De Sucata E Aparas,7,1324.02
Piedade,Técnico Em Segurança Do Trabalho,7,2569.6
Itu,Carpinteiro De Obras,7,1761.81
Araçoiaba da Serra,Encarregado Geral De Operações De Conservação De Vias Permanentes (Exceto Trilhos),7,2224.96
Araçariguama,Supervisor De Vigilantes,7,4552.62
Pindamonhangaba,Trabalhador Da Pecuária (Bubalinos),7,1326.92
Itu,Operador De Estação De Bombeamento,7,3091.18
Araçatuba,Técnico De Imobilização Ortopédica,7,2707.46
Araçatuba,Cozinhador (Conservação De Alimentos),7,1298.01
Dourado,Auxiliar De Veterinário,7,2381.85
Americana,Arquivista De Documentos,7,1854.52
Araçariguama,Operador De Carregadeira,7,3008.53
Itupeva,Folheador De Móveis De Madeira,7,1649.53
Itapeva,Sushiman,7,1716.24
Ibiúna,Mecânico De Veículos Automotores A Diesel (Exceto Tratores),7,2046.38
Araçoiaba da Serra,Escrevente,7,1538.33
Itapeva,Trabalhador Da Elaboração De Pré-Fabricados (Cimento Amianto),7,1648.88
Americana,Mecânico De Manutenção De Empilhadeiras E Outros Veículos De Cargas Leves,7,3163.2
Americana,Mecânico Montador De Motores De Embarcações,7,3309.82
Araçariguama,Analista De Suporte Computacional,7,4689.54
Americana,"Instalador De Material Isolante, À Máquina (Edificações)",7,3129.25
Americana,Operador De Time De Montagem,7,3281.39
Pindamonhangaba,Churrasqueiro,7,1599.37
Americana,Operador De Transporte Multimodal,7,2445.49
Americana,Consultor Contábil (Técnico),7,2615.22
Araçariguama,Assistente Social,7,4133.03
Americana,Ajustador Ferramenteiro,7,5309.69
Itu,Alinhador De Pneus,7,2652.68
Araçatuba,Manicure/Pedicure,7,1329.49
Araçariguama,Mestre De Fundição,7,4911.66
Piedade,Supervisor De Montagem E Instalação Eletroeletrônica,7,5747.1
Ibiúna,Supervisor De Almoxarifado,7,3951.76
Cerquilho,Copeiro,7,1573.32
Pindamonhangaba,Operador De Quadro De Distribuição De Energia Elétrica,7,5907.62
Araçariguama,Cronoanalista,7,5828.16
Piedade,Técnico Químico,7,5810.43
Itupeva,Montador De Máquinas-Ferramentas (Usinagem De Metais),7,5170.21
Macatuba,Psicólogo Clínico,7,5181.43
Itupeva,Mantenedor De Sistemas Eletroeletrônicos De Segurança,7,1808.28
Araçatuba,Técnico De Planejamento E Programação Da Manutenção,7,3332.03
Araçariguama,Professor De História Do Ensino Fundamental,7,5515.96
Araçariguama,Professor De Geografia Do Ensino Fundamental,7,4964.22
Charqueada,Operador De Pá Carregadeira,7,2481.05
Itapeva,Chefe De Cozinha,7,1517.28
Itapeva,Auxiliar De Lavanderia,7,1433
Araçoiaba da Serra,Recepcionista De Consultório Médico Ou Dentário,7,1674.43
Itapetininga,Psicólogo Clínico,7,2855.5
Cerquilho,Atendente Comercial (Agência Postal),7,1865.03
Itapetininga,Supervisor De Ensino,7,5717.01
Itapetininga,Operador De Motoniveladora,7,4359.88
Cerquilho,Colorista Têxtil,7,2021.06
Itapetininga,Avaliador Físico,7,2792.57
Americana,Operador De Processo De Moagem,7,2856.66
Porto Feliz,Psicólogo Educacional,7,2859.49
Itu,Economista,7,3942.05
Araçatuba,Lavador De Peças,7,1424.35
Itapeva,Diretor Administrativo,7,10924.49
Americana,Galvanizador,7,2677.47
Araçatuba,Encarregado De Acabamento De Chapas E Metais  (Têmpera),7,4893.9
Americana,Instalador De Isolantes Térmicos (Refrigeração E Climatização),7,2364.62
Americana,Topógrafo,7,2971.75
Itapetininga,Kardexista,7,1448.32
Charqueada,"Eletricista De Instalações (Veículos Automotores E Máquinas Operatrizes, Exceto Aeronaves E Embarcações)",7,1489.84
Itapetininga,Operador De Cristalização Na Refinação De Açucar,7,3172.4
Itapetininga,Auxiliar De Serviços Jurídicos,7,1868.92
Americana,Operador De Pá Carregadeira,7,1875.83
Porto Feliz,Avaliador Físico,7,2471.3
Araçariguama,Copeiro,7,1366.98
Itu,Oleiro (Fabricação De Telhas),7,1568.32
Boituva,Gerente De Desenvolvimento De Sistemas,7,15159.54
Araçoiaba da Serra,Técnico De Obras Civis,7,3353.11
Pindamonhangaba,"Instalador De Cortinas E Persianas, Portas Sanfonadas E Boxe",7,2069.45
Itu,Funileiro Industrial,7,4467.89
Boituva,Projetista De Móveis,7,1970.93
Piedade,Técnico De Suporte Ao Usuário De Tecnologia Da Informação,7,1226.98
Itu,Diretor Administrativo E Financeiro,7,14667.77
Itapetininga,Surfassagista,7,2338.99
Araçoiaba da Serra,Marceneiro,7,2077.25
Pindamonhangaba,Técnico Em Caldeiraria,7,5091.44
Itu,Mecânico De Manutenção De Motores Diesel (Exceto De Veículos Automotores),7,2036.8
Itapeva,Auxiliar De Banco De Sangue,7,2239.27
Pindamonhangaba,Costureiro Na Confecção Em Série,7,1469.97
Itapetininga,Supervisor De Manutenção Elétrica De Alta Tensão Industrial,7,9317.01
Itu,Operador De Processo De Moagem,7,2521.81
Charqueada,"Mecânico De Manutenção De Máquinas, Em Geral",7,3663.94
Cerquilho,Preparador Físico,7,879.6
Itapeva,Analista Financeiro (Instituições Financeiras),7,4216.25
Cerquilho,Operador De Tratamento De Calda Na Refinação De Açúcar,7,2748
Itapetininga,Mecânico De Manutenção E Instalação De Aparelhos De Climatização E  Refrigeração,7,1341.75
Boituva,Gerente De Departamento Pessoal,7,5483.04
Boituva,Analista De Negócios,7,3400.83
Itapetininga,Técnico Em Instrumentação,7,4065.87
Itu,,7,2591.99
Araçariguama,Pintor De Estruturas Metálicas,7,2807.77
Araçatuba,Advogado (Direito Do Trabalho),7,4309.39
Araçariguama,Contramestre De Tecelagem (Indústria Têxtil),7,3838.46
Itapetininga,Médico Pediatra,7,8131.81
Araçatuba,Técnico De Manutenção Elétrica,7,4158.9
Pindamonhangaba,Catador De Material Reciclável,7,3153.19
Itu,Acabador De Superfícies De Concreto,7,1813.05
Itupeva,Técnico Em Mecânica De Precisão,7,3534.67
Araçariguama,Operador De Estação De Tratamento De Água E Efluentes,7,2873.59
Pindamonhangaba,"Mecânico De Manutenção De Máquinas Cortadoras De Grama, Roçadeiras, Motosserras E Similares",7,1726.64
Itupeva,Supervisor De Manutenção Elétrica De Alta Tensão Industrial,7,12166.96
Itapeva,Promotor De Vendas Especializado,7,2171.84
Araçoiaba da Serra,Analista De Pesquisa De Mercado,7,4310.58
Araçariguama,Fisioterapeuta Geral,7,4542.32
Araçariguama,"Eletrotécnico Na Fabricação, Montagem E Instalação De Máquinas E Equipamentos",6,3441.02
Itu,Trabalhador No Cultivo De Árvores Frutíferas,6,1903.09
Piedade,Professor De Educação Física No Ensino Médio,6,2472.49
Araçoiaba da Serra,Assistente De Laboratório Industrial,6,2944.58
Porto Feliz,Supervisor De Carga E Descarga,6,5076.4
Itapeva,Professor De Língua Portuguesa,6,3137.16
Dourado,Serralheiro,6,1728.91
Araçoiaba da Serra,Cirurgião Dentista - Clínico Geral,6,2900.42
Itapeva,Supervisor De Manutenção Elétrica De Alta Tensão Industrial,6,6674.3
Itapetininga,Professor De Língua Portuguesa,6,2551.57
Itupeva,Técnico De Suporte Ao Usuário De Tecnologia Da Informação,6,2327.07
Itupeva,Supervisor De Caixas E Bilheteiros (Exceto Caixa De Banco),6,2942.27
Araçoiaba da Serra,Fisioterapeuta Geral,6,2966.95
Araçoiaba da Serra,Agente De Trânsito,6,2417.27
Araçariguama,Agente De Trânsito,6,2213.17
Itu,Operador De Rádio-Chamada,6,2375.93
Itu,Educador Social,6,2084.25
Araçoiaba da Serra,Desenhista Projetista De Arquitetura,6,2979.38
Itapetininga,Gerente De Produtos Bancários,6,6121.68
Cerquilho,Orientador Educacional,6,2684.34
Araçatuba,Operador De Motoniveladora,6,2377.31
Itapeva,Procurador Do Município,6,13516.29
Araçatuba,"Salsicheiro (Fabricação De Lingüiça, Salsicha E Produtos Similares)",6,2963.4
Araçatuba,Analista De Crédito (Instituições Financeiras),6,2281.37
Araçoiaba da Serra,Chefe De Cozinha,6,1462.51
Itapetininga,Economista Financeiro,6,5475.67
Ibiúna,Pintor De Obras,6,2271.84
Itapetininga,Cozinheiro De Hospital,6,1849.37
Pindamonhangaba,Supervisor De Embalagem E Etiquetagem,6,3344.57
Ibiúna,Gerente De Projetos E Serviços De Manutenção,6,15411.17
Araçoiaba da Serra,Montador De Móveis E Artefatos De Madeira,6,2136.91
Boituva,Desenhista Industrial Gráfico (Designer Gráfico),6,1822.91
Itapeva,Brasador,6,1749.59
Americana,Secretário  Bilíngüe,6,2129.01
Itapetininga,Operador De Inspeção De Qualidade,6,2879.7
Itu,Modelador De Madeira,6,2675.78
